,Learners,Learn rate,Depth,F1 Macro Score
272,6.0,27.0,9.0,0.6745120281770898
273,6.0,29.0,3.0,0.6001760986029041
274,6.0,29.0,4.0,0.5848189331729404
275,6.0,29.0,5.0,0.6278373998327914
276,6.0,29.0,6.0,0.640215453381407
277,6.0,29.0,7.0,0.6704723895899447
278,6.0,29.0,8.0,0.6635019138286815
279,6.0,29.0,9.0,0.6619350465871898
280,6.0,31.0,3.0,0.5903168382312726
281,6.0,31.0,4.0,0.5629489901501199
282,6.0,31.0,5.0,0.6429895213318013
283,6.0,31.0,6.0,0.6178674364394199
284,6.0,31.0,7.0,0.6700566469551014
285,6.0,31.0,8.0,0.6677823429874847
286,6.0,31.0,9.0,0.6580705749675755
287,6.0,33.0,3.0,0.5973516288492151
288,6.0,33.0,4.0,0.5796145916450973
289,6.0,33.0,5.0,0.63529714387333
290,6.0,33.0,6.0,0.6516778056355117
291,6.0,33.0,7.0,0.6708310811698259
292,6.0,33.0,8.0,0.6515589522493952
293,6.0,33.0,9.0,0.6846914354148066
294,6.0,35.0,3.0,0.5814892677812573
295,6.0,35.0,4.0,0.5939992885733222
296,6.0,35.0,5.0,0.647981114402661
297,6.0,35.0,6.0,0.6444199780471797
298,6.0,35.0,7.0,0.6915471974969474
299,6.0,35.0,8.0,0.6514106981700084
300,6.0,35.0,9.0,0.6753898104863614
301,6.0,37.0,3.0,0.6075495660724572
302,6.0,37.0,4.0,0.6282846415373076
303,6.0,37.0,5.0,0.6235164296490676
304,6.0,37.0,6.0,0.62364116478912
305,6.0,37.0,7.0,0.6526127378628089
306,6.0,37.0,8.0,0.6505731061725595
307,6.0,37.0,9.0,0.6732865940075735
308,6.0,39.0,3.0,0.6139014241897395
309,6.0,39.0,4.0,0.6162939615253007
310,6.0,39.0,5.0,0.6407689034658632
311,6.0,39.0,6.0,0.6525600814042264
312,6.0,39.0,7.0,0.681855556493256
313,6.0,39.0,8.0,0.6461220867179874
314,6.0,39.0,9.0,0.6715267997506993
